author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Herings, R",1,0,0,1,2
"Hilka, M",0,0,0,2,2
"Hill, E",1,0,1,0,2
"Hobbs, F",0,0,1,1,2
"Hochheimer, C",0,0,2,0,2
"Hohman, K",0,0,0,2,2
"Holmes, J",1,0,0,1,2
"Hong, Y",0,0,2,0,2
"Horcajada, J",0,0,2,0,2
"Hribar, M",0,0,1,1,2
"Hruby, G",1,1,0,0,2
"Hull, M",0,0,0,2,2
"Hulsen, T",0,0,2,0,2
"Humphreys, K",1,0,1,0,2
"Hwang, S",0,0,2,0,2
"Höning, G",0,0,0,2,2
"Ilatovskiy, A",0,0,0,2,2
"Imran Omar, M",1,0,1,0,2
"Iqbal, U",0,0,1,1,2
"Itzel, T",0,0,2,0,2
"Jackson, S",0,0,0,2,2
"Jacobs, J",0,0,0,2,2
"Jefferson, E",0,0,0,2,2
"Jeon, K",0,0,0,2,2
"Ji, H",0,0,0,2,2
"Jiang, X",0,0,1,1,2
"Jimenez, H",1,0,1,0,2
"Jin, H",0,0,2,0,2
"Jing, Y",0,0,2,0,2
"Johnson, K",0,1,1,0,2
"Joo, Y",0,0,1,1,2
"Joss, M",0,1,0,1,2
"Joy, M",0,0,1,1,2
"Kalokyri, V",0,0,0,2,2
"Kalra, D",0,0,0,2,2
"Kamijima, Y",0,0,1,1,2
"Kang, D",1,0,1,0,2
"Kang, M",1,0,0,1,2
"Kapsner, L",0,2,0,0,2
"Katsch, F",0,0,0,2,2
"Kavuluru, R",1,0,1,0,2
"Khera, R",0,0,2,0,2
"Khosla, S",0,0,2,0,2
"Kim, E",0,0,2,0,2
"Kim, I",0,0,2,0,2
"Kim, W",1,0,1,0,2
"Kimura, S",0,0,1,1,2
"Kingsbury, P",0,1,0,1,2
"Kiryluk, K",0,0,1,1,2
"Kiwuwa-Muyingo, S",0,0,0,2,2
"Kohler, J",0,0,2,0,2
"Korntheuer, R",0,0,0,2,2
"Kraus, E",0,0,0,2,2
"Kreiner, K",0,1,0,1,2
"Kremer, A",0,0,0,2,2
"Kubota, K",0,0,1,1,2
"Kullo, I",1,0,0,1,2
"Köhler, S",0,0,0,2,2
"Larsen, R",0,2,0,0,2
"Lau, W",0,0,2,0,2
"Laur, S",0,1,0,1,2
"Lauschensky, A",0,1,0,1,2
"Lavallee, M",1,1,0,0,2
"Le Carrour, T",0,0,2,0,2
"Le Guen, Y",0,0,2,0,2
"Lee, N",0,2,0,0,2
"Lenert, L",0,0,0,2,2
"Leprovost, D",0,0,0,2,2
"Leutner, L",0,0,0,2,2
"Levine, M",1,0,0,1,2
"Levitt, E",1,0,1,0,2
"Li, Z",0,1,1,0,2
"Lim, H",1,0,1,0,2
"Lin, V",2,0,0,0,2
"Lingren, T",1,0,0,1,2
"Lipori, G",0,0,2,0,2
"Liu, F",1,0,0,1,2
"Liu, M",1,1,0,0,2
"Liu, Y",0,0,2,0,2
"Liyanage, H",0,0,1,1,2
"Londhe, A",0,0,1,1,2
"Loomba, J",1,0,0,1,2
"Lozano-Rubí, R",0,0,0,2,2
"Lyu, T",2,0,0,0,2
"López-Güell, K",0,1,0,1,2
"Ma, Q",0,0,0,2,2
"Macho, P",0,2,0,0,2
"Madhu, S",0,0,2,0,2
"Magoc, T",0,0,2,0,2
"Magrini, S",0,0,2,0,2
"Mallipattu, S",1,0,1,0,2
"Mandadi, N",0,0,0,2,2
"Markus, A",2,0,0,0,2
"Marquardt, K",0,1,0,1,2
"Mate, S",0,2,0,0,2
